manufacturer,vehicle,model,type,fuel,color,vrm
Hyundai,Volvo Altima,2,Cargo Van,Diesel,orange,ZD20KEK
Ford,Mercedes Benz Charger,Fortwo,Hatchback,Hybrid,maroon,IR52LWF
Aston Martin,Lamborghini Civic,1,Extended Cab Pickup,Electric,salmon,LD91UUS
Volkswagen,Porsche CTS,Expedition,Passenger Van,Gasoline,cyan,WX80VBH
Cadillac,Audi Mercielago,Civic,Convertible,Gasoline,violet,RY45FRH
Fiat,Bugatti Element,Beetle,Sedan,Electric,red,AT69RTH
Dodge,Jaguar Jetta,Camaro,Convertible,Diesel,violet,MX02XHD
Bugatti,Kia Focus,Expedition,Passenger Van,Hybrid,teal,XG24PBO
Land Rover,Maserati Ranchero,V90,Minivan,Electric,magenta,GC54YSM
Hyundai,Lamborghini Taurus,A4,Hatchback,Diesel,olive,DN79APW
Tesla,Lamborghini Ranchero,Challenger,Convertible,Hybrid,gold,JK51QYJ
Ford,Land Rover A4,Land Cruiser,Passenger Van,Diesel,cyan,RQ67JJT
Dodge,Ford Aventador,A4,Extended Cab Pickup,Hybrid,lavender,AR46BCU
Volkswagen,Bentley Challenger,Escalade,Minivan,Hybrid,maroon,JG79UOH
Aston Martin,Polestar Prius,Volt,Crew Cab Pickup,Gasoline,sky blue,AX73MXT
Maserati,Jaguar Fiesta,Silverado,Wagon,Hybrid,magenta,OZ01MDT
Toyota,Chevrolet Element,Durango,Cargo Van,Diesel,ivory,NT29BSN
BMW,Cadillac Focus,Charger,Cargo Van,Diesel,red,NG18HOG
Lamborghini,Volkswagen Spyder,Silverado,Convertible,Diesel,black,CP59KOJ
Aston Martin,Rolls Royce Golf,El Camino,Coupe,Gasoline,gold,PK48TTL
Lamborghini,Hyundai Ranchero,Escalade,Cargo Van,Diesel,yellow,YB91UFQ
Mini,Audi Model 3,Accord,Cargo Van,Diesel,blue,HZ35HFB
Dodge,Bugatti A8,Volt,Coupe,Hybrid,plum,JZ08TGH
Jeep,Chevrolet Prius,XC90,Sedan,Hybrid,purple,TA60BMV
Maserati,Polestar Model X,Durango,Crew Cab Pickup,Gasoline,silver,CP13NOF
Nissan,Toyota Civic,Durango,Coupe,Diesel,blue,TJ26BFC
Polestar,Cadillac Mustang,Escalade,Coupe,Diesel,indigo,DF96ONV
Toyota,Maserati Colorado,XTS,Cargo Van,Gasoline,lime,NU79EYR
Aston Martin,Hyundai Corvette,Altima,Minivan,Hybrid,lavender,KY95FXA
Mazda,Toyota Charger,El Camino,Hatchback,Diesel,plum,AO49VXJ
Honda,Maserati V90,Taurus,Convertible,Electric,yellow,CD65AAL
Volkswagen,Volkswagen 911,ATS,Cargo Van,Electric,mint green,CI51XVN
Ford,Ferrari Fortwo,Escalade,Minivan,Hybrid,cyan,GV09ZLL
Lamborghini,Ford Jetta,Model X,Crew Cab Pickup,Diesel,tan,YP30YPF
Hyundai,Chrysler Golf,Countach,Crew Cab Pickup,Diesel,cyan,VP51EUP
Maserati,Audi Mustang,Fiesta,Extended Cab Pickup,Diesel,magenta,KX50WZU
Honda,Dodge XC90,Explorer,Minivan,Diesel,gold,FO46JHS
Land Rover,Mini A4,Explorer,Sedan,Diesel,ivory,US98AIG
Mercedes Benz,Jaguar Durango,Escalade,Extended Cab Pickup,Diesel,maroon,AK53DQO
Hyundai,Cadillac XC90,PT Cruiser,Passenger Van,Gasoline,teal,HL03FUA
Tesla,Toyota 1,Beetle,Passenger Van,Gasoline,black,AG28ONW
Porsche,Cadillac Model X,Expedition,SUV,Diesel,sky blue,LU05BMV
Fiat,Mazda Explorer,Beetle,Extended Cab Pickup,Gasoline,blue,GZ01HVW
Smart,Bentley Element,Accord,Minivan,Diesel,purple,NM93MFW
Land Rover,Rolls Royce CTS,Ranchero,Wagon,Gasoline,azure,MG21LFM
